ID,Study,Experiment,Entered.by,Host,Host.type,Parasite,Parasite.type,Study.type,X_gradient,Gradient.category,Trait,Trait.type,Trait.category,Gradient.as.predicted,Statistics,Level_C,Level_X,N_C,N_X,Mean_C,Variation_C,Lwr_C,Upr_C,Mean_X,Variation_X,Lwr_X,Upr_X,Success_C,Success_X,Variation.Type,OR,OR_SE,OR_N,F_X,F_df,Chi2,Chi2_df,Slope,R,R_N,R_df,Slope_SE,Z_X,Z_N,Z_df,Z_SE,Data_source,Comment
485,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,14_days_Normal_oxygen,14_days_Reduced_oxygen,65,65,,,,,,,,,0,1,OR,,,,,,,,,,,,,,,,,Digitized from Fig 1,Mortality and Epidemiologicaleffects recorded over multiple time points
486,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,21_days_Normal_oxygen,21_days_Reduced_oxygen,65,65,,,,,,,,,0,2,OR,,,,,,,,,,,,,,,,,Digitized from Fig 1,Mortality and Epidemiologicaleffects recorded over multiple time points
487,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,35_days_Normal_oxygen,35_days_Reduced_oxygen,65,65,,,,,,,,,1,3,OR,,,,,,,,,,,,,,,,,Digitized from Fig 1,Mortality and Epidemiologicaleffects recorded over multiple time points
488,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,49_days_Normal_oxygen,49_days_Reduced_oxygen,65,65,,,,,,,,,1,4,OR,,,,,,,,,,,,,,,,,Digitized from Fig 1,Mortality and Epidemiologicaleffects recorded over multiple time points
489,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,70_days_Normal_oxygen,70_days_Reduced_oxygen,65,65,,,,,,,,,1,7,OR,,,,,,,,,,,,,,,,,Digitized from Fig 1,Mortality and Epidemiologicaleffects recorded over multiple time points
490,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Mortality,Survivorship,Uninfected demographic,yes,Contingency table,7_days_Normal_oxygen,7_days_Reduced_oxygen,65,65,,,,,,,,,0,0,OR,,,,,,,,,,,,,,,,,Digitized from Fig 1,Mortality and Epidemiologicaleffects recorded over multiple time points
491,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Mortality,Survivorship,Uninfected demographic,yes,Contingency table,14_days_Normal_oxygen,14_days_Reduced_oxygen,65,65,,,,,,,,,1,2,OR,,,,,,,,,,,,,,,,,Digitized from Fig 1,Mortality and Epidemiologicaleffects recorded over multiple time points
492,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Mortality,Survivorship,Uninfected demographic,yes,Contingency table,21_days_Normal_oxygen,21_days_Reduced_oxygen,65,65,,,,,,,,,1,3,OR,,,,,,,,,,,,,,,,,Digitized from Fig 1,Mortality and Epidemiologicaleffects recorded over multiple time points
493,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Mortality,Survivorship,Uninfected demographic,yes,Contingency table,35_days_Normal_oxygen,35_days_Reduced_oxygen,65,65,,,,,,,,,1,3,OR,,,,,,,,,,,,,,,,,Digitized from Fig 1,Mortality and Epidemiologicaleffects recorded over multiple time points
494,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Mortality,Survivorship,Uninfected demographic,yes,Contingency table,49_days_Normal_oxygen,49_days_Reduced_oxygen,65,65,,,,,,,,,1,4,OR,,,,,,,,,,,,,,,,,Digitized from Fig 1,Mortality and Epidemiologicaleffects recorded over multiple time points
495,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Mortality,Survivorship,Uninfected demographic,yes,Contingency table,70_days_Normal_oxygen,70_days_Reduced_oxygen,65,65,,,,,,,,,4,8,OR,,,,,,,,,,,,,,,,,Digitized from Fig 1,Mortality and Epidemiologicaleffects recorded over multiple time points
496,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Log2 normalized expression plasma,Intensity,Epidemiological,yes,Comparison,7_days_Normal_oxygen,7_days_Reduced_oxygen,4,4,9.79649805,5.333081709,,,12.89595138,1.169830942,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Fig 2,Mean and SD calculated from raw data
497,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Log2 normalized expression plasma,Intensity,Epidemiological,yes,Comparison,14_days_Normal_oxygen,14_days_Reduced_oxygen,2,3,2.0549009,0.8198361484,,,3.6352401,3.540087584,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Fig 2,Mean and SD calculated from raw data
498,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Log2 normalized expression gills,Intensity,Epidemiological,yes,Comparison,7_days_Normal_oxygen,7_days_Reduced_oxygen,5,5,8.00433072,2.731015612,,,9.8251175,0.7063620845,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Fig 3,"Mean and SD calculated from raw data, no data for treatment day 49"
499,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Log2 normalized expression gills,Intensity,Epidemiological,yes,Comparison,14_days_Normal_oxygen,14_days_Reduced_oxygen,5,4,4.51332766,1.382674045,,,6.800994225,1.504682046,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Fig 3,"Mean and SD calculated from raw data, no data for treatment day 49"
500,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Log2 normalized expression gills,Intensity,Epidemiological,yes,Comparison,21_days_Normal_oxygen,21_days_Reduced_oxygen,4,5,4.243335725,1.998934296,,,5.68837976,1.514178437,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Fig 3,"Mean and SD calculated from raw data, no data for treatment day 49"
501,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Log2 normalized expression gills,Intensity,Epidemiological,yes,Comparison,35_days_Normal_oxygen,35_days_Reduced_oxygen,2,4,5.49544785,0.6445700453,,,2.71682188,1.902632066,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Fig 3,"Mean and SD calculated from raw data, no data for treatment day 49"
502,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Log2 normalized expression gills,Intensity,Epidemiological,yes,Comparison,70_days_Normal_oxygen,70_days_Reduced_oxygen,2,2,4.60186575,1.191535243,,,2.04422375,0.8204011974,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Fig 3,"Mean and SD calculated from raw data, no data for treatment day 49"
503,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Log2 normalized expression hearts,Intensity,Epidemiological,yes,Comparison,7_days_Normal_oxygen,7_days_Reduced_oxygen,5,5,11.3782772,3.143993148,,,14.8389512,1.866168306,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Fig 4,Mean and SD calculated from raw data
504,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Log2 normalized expression hearts,Intensity,Epidemiological,yes,Comparison,14_days_Normal_oxygen,14_days_Reduced_oxygen,5,5,13.2509362,1.618610587,,,15.7752812,2.000399518,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Fig 4,Mean and SD calculated from raw data
505,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Log2 normalized expression hearts,Intensity,Epidemiological,yes,Comparison,21_days_Normal_oxygen,21_days_Reduced_oxygen,5,5,11.962547,1.928311774,,,11.363296,0.7549394285,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Fig 4,Mean and SD calculated from raw data
506,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Log2 normalized expression hearts,Intensity,Epidemiological,yes,Comparison,35_days_Normal_oxygen,35_days_Reduced_oxygen,5,5,7.2584271,1.131805117,,,5.04119852,1.666056443,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Fig 4,Mean and SD calculated from raw data
507,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Log2 normalized expression hearts,Intensity,Epidemiological,yes,Comparison,49_days_Normal_oxygen,49_days_Reduced_oxygen,5,4,5.48689135,1.56364247,,,3.730337072,3.302958758,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Fig 4,Mean and SD calculated from raw data
508,Andersen et al. 2010 Virology Journal,60,BW,Salmo salar,Fish,Salmonid alphaVirus(SAV),Virus,Experimental,Oxygen,Environment,Log2 normalized expression hearts,Intensity,Epidemiological,yes,Comparison,70_days_Normal_oxygen,70_days_Reduced_oxygen,4,5,3.4176029,1.683693093,,,3.64794012,2.44288375,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Fig 4,Mean and SD calculated from raw data
509,Paul-Pont et al. 2010 Marine PollutionBulletin,61,BW,Cerastoderma edule,Mollusc,Himasthla elongata,Helminth,Experimental,Cadmiun,Pollution,Parasite load (number of cysts),Intensity,Epidemiological,yes,Comparison,Control,Cadmium,3,3,8.032161,2.281032,,,10.301826,2.651783,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Fig1,Epidemiologicaleffects recorded on day 7
510,Paul-Pont et al. 2010 Marine PollutionBulletin,61,BW,Cerastoderma edule,Mollusc,Himasthla elongata,Helminth,Experimental,Cadmiun,Pollution,Mortality,Survivorship,Infected demographic,yes,Contingency table,Control,Cadmium,12,12,,,,,,,,,0,0,OR,,,,,,,,,,,,,,,,,Results p1,No mortality had occured by day 7 in any treatment
511,Paul-Pont et al. 2010 Marine PollutionBulletin,61,BW,Cerastoderma edule,Mollusc,Himasthla elongata,Helminth,Experimental,Cadmiun,Pollution,Mortality,Survivorship,Uninfected demographic,yes,Contingency table,Control,Cadmium,12,12,,,,,,,,,0,0,OR,,,,,,,,,,,,,,,,,Results p1,No mortality had occured by day 7 in any treatment
512,Hall & Ebert 2012. ProcB,62,"KN,OM",Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food ,Resource,Prevalence of Disease,Prevalence,Epidemiological,yes,Comparison,HighFood_M10_C1,LowFood_M10_C1,18,27,0.73,0.06,,,0.89,0.03,,,,,SE,,,,,,,,,,,,,,,,,Figure 1a,M10/H02 are host variants and C2/C19 are pathogen varients 
513,Hall & Ebert 2012. ProcB,62,"KN,OM",Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food ,Resource,Prevalence of Disease,Prevalence,Epidemiological,yes,Comparison,HighFood_M10_C19,LowFood_M10_C19,26,23,0.93,0.03,,,0.93,0.03,,,,,SE,,,,,,,,,,,,,,,,,Figure 1a,M10/H02 are host variants and C2/C19 are pathogen varients 
514,Hall & Ebert 2012. ProcB,62,"KN,OM",Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food ,Resource,Prevalence of Disease,Prevalence,Epidemiological,yes,Comparison,HighFood_H02_C1,LowFood_H02_C1,25,24,0.94,0.03,,,0.84,0.04,,,,,SE,,,,,,,,,,,,,,,,,Figure 1a,M10/H02 are host variants and C2/C19 are pathogen varients 
515,Hall & Ebert 2012. ProcB,62,"KN,OM",Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food ,Resource,Prevalence of Disease,Prevalence,Epidemiological,yes,Comparison,HighFood_H02_C19,LowFood_H02_C19,24,25,0.98,0.02,,,0.93,0.03,,,,,SE,,,,,,,,,,,,,,,,,Figure 1a,M10/H02 are host variants and C2/C19 are pathogen varients 
516,Hall & Ebert 2012. ProcB,62,"KN,OM",Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food ,Resource,Lifetime Offspring Production ,Fecundity,Infected demographic,yes,Comparison,HighFood_M10_C1,LowFood_M10_C1,22,27,24.35,3.61,,,18.43,1.73,,,,,SE,,,,,,,,,,,,,,,,,Figure 3a,Decided to only use values for fecundity through out entire life time only. I excluded values for fecundity up until day 28. 
517,Hall & Ebert 2012. ProcB,62,"KN,OM",Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food ,Resource,Lifetime Offspring Production ,Fecundity,Infected demographic,yes,Comparison,HighFood_M10_C19,LowFood_M10_C19,26,22,47.21,7.36,,,33.79,6.06,,,,,SE,,,,,,,,,,,,,,,,,Figure 3a,Decided to only use values for fecundity through out entire life time only. I excluded values for fecundity up until day 28. 
518,Hall & Ebert 2012. ProcB,62,"KN,OM",Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food ,Resource,Lifetime Offspring Production ,Fecundity,Infected demographic,yes,Comparison,HighFood_H02_C1,LowFood_H02_C1,26,26,10.92,1.3,,,9.19,1.01,,,,,SE,,,,,,,,,,,,,,,,,Figure 3a,Decided to only use values for fecundity through out entire life time only. I excluded values for fecundity up until day 28. 
519,Hall & Ebert 2012. ProcB,62,"KN,OM",Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food ,Resource,Lifetime Offspring Production ,Fecundity,Infected demographic,yes,Comparison,HighFood_H02_C19,LowFood_H02_C19,28,26,28.88,3.89,,,25.84,3.03,,,,,SE,,,,,,,,,,,,,,,,,Figure 3a,Decided to only use values for fecundity through out entire life time only. I excluded values for fecundity up until day 28. 
520,Hall & Ebert 2012. ProcB,62,"KN,OM",Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food ,Resource,Transmission Spores at Death,Intensity,Epidemiological,yes,Comparison,HighFood_M10_C1,LowFood_M10_C1,22,27,11030000,1000000,,,12690000,721000,,,,,SE,,,,,,,,,,,,,,,,,Figure 3b,Decided to only use values for spore count at time of death only. I excluded values for spore count at day 28. 
521,Hall & Ebert 2012. ProcB,62,"KN,OM",Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food ,Resource,Transmission Spores at Death,Intensity,Epidemiological,yes,Comparison,HighFood_M10_C19,LowFood_M10_C19,26,22,6970000,815000,,,7350000,752000,,,,,SE,,,,,,,,,,,,,,,,,Figure 3b,Decided to only use values for spore count at time of death only. I excluded values for spore count at day 28. 
522,Hall & Ebert 2012. ProcB,62,"KN,OM",Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food ,Resource,Transmission Spores at Death,Intensity,Epidemiological,yes,Comparison,HighFood_H02_C1,LowFood_H02_C1,26,26,11180000,815000,,,13780000,721000,,,,,SE,,,,,,,,,,,,,,,,,Figure 3b,Decided to only use values for spore count at time of death only. I excluded values for spore count at day 28. 
523,Hall & Ebert 2012. ProcB,62,"KN,OM",Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food ,Resource,Transmission Spores at Death,Intensity,Epidemiological,yes,Comparison,HighFood_H02_C19,LowFood_H02_C19,28,26,9320000,752000,,,11060000,627000,,,,,SE,,,,,,,,,,,,,,,,,Figure 3b,Decided to only use values for spore count at time of death only. I excluded values for spore count at day 28. 
524,Shostak et al. 2012. JParasitol,63,"MK,MY",Tribolium confusum,Arthropod,Hymenolepis diminuta,Helminth,Experimental,Diatomaceous Earth (DE),Toxin,Survival,Survivorship,Uninfected demographic,yes,ANOVA,Sequential_NoToxin,Sequential_Toxin,149,179,,,,,,,,,149,175,OR,,,,,,,,,,,,,,,,,Table 1,Based n off of the number of dead and alive beetles in table
525,Shostak et al. 2012. JParasitol,63,"MK,MY",Tribolium confusum,Arthropod,Hymenolepis diminuta,Helminth,Experimental,Diatomaceous Earth (DE),Toxin,Survival,Survivorship,Infected demographic,yes,ANOVA,Sequential_NoToxin,Sequential_Toxin,178,177,,,,,,,,,178,175,OR,,,,,,,,,,,,,,,,,Table 1,Based n off of the number of dead and alive beetles in table
526,Shostak et al. 2012. JParasitol,64,"MK,MY",Tribolium confusum,Arthropod,Hymenolepis diminuta,Helminth,Experimental,Diatomaceous Earth (DE),Toxin,Survival,Survivorship,Uninfected demographic,yes,ANOVA,Concurrent_NoToxin,Concurrent_Toxin,278,249,,,,,,,,,278,242,OR,,,,,,,,,,,,,,,,,Table 1,Based n off of the number of dead and alive beetles in table
527,Shostak et al. 2012. JParasitol,64,"MK,MY",Tribolium confusum,Arthropod,Hymenolepis diminuta,Helminth,Experimental,Diatomaceous Earth (DE),Toxin,Survival,Survivorship,Infected demographic,yes,ANOVA,Concurrent_NoToxin,Concurrent_Toxin,249,268,,,,,,,,,245,262,OR,,,,,,,,,,,,,,,,,Table 1,Based n off of the number of dead and alive beetles in table
528,Shostak et al. 2012. JParasitol,63,"MK,MY",Tribolium confusum,Arthropod,Hymenolepis diminuta,Helminth,Experimental,Diatomaceous Earth (DE),Toxin,Mean Cysticercoids,Intensity,Epidemiological,yes,ANOVA,Sequential_NoToxin,Sequential_Toxin,3,3,2.9555554,0.5072466,,,4.443478,0.3855077,,,,,SE,,,,,,,,,,,,,,,,,Figure 2,BW based n on the df of Table 2 and the number of treatments
529,Souto et al. 2015. VetMicrobiol.,65,"AVS,SA,CJ",Solea senegalensis,Fish,BetanodaVirusSs160.03,Virus,Experimental,Temperature,Environment,Cumulative mortality,Survivorship,Infected demographic,yes,,16C_Bath,18C_Bath,2,2,0,0,,,75.26,2.92,,,,,SE,,,,,,,,,,,,,,,,,Figure 1a and text,
530,Souto et al. 2015. VetMicrobiol.,65,"AVS,SA,CJ",Solea senegalensis,Fish,BetanodaVirusSs160.04,Virus,Experimental,Temperature,Environment,Cumulative mortality,Survivorship,Infected demographic,yes,,16C_Bath,22C_Bath,2,2,0,0,,,100,0,,,,,SE,,,,,,,,,,,,,,,,,Figure 1a and text,
531,Souto et al. 2015. VetMicrobiol.,65,"AVS,SA,CJ",Solea senegalensis,Fish,BetanodaVirusSs160.05,Virus,Experimental,Temperature,Environment,Cumulative mortality,Survivorship,Infected demographic,yes,,16C_Cohabiting,18C_Cohabiting,2,2,0,0,,,78.18,7.56,,,,,SE,,,,,,,,,,,,,,,,,Figure 1a and text,
